,Unnamed: 0,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate
0,0,317.7966101694915,188.8,124.22946510389556,--,,,,8.0,,,,,0.3531073446327684
0,0,40.76363883415993,1471.9,58.64119712284189,20.31287165239324,36.187545668896384,0.5641025641025641,0.2051282051282051,44.0,25.309030177922825,76.09841719297974,6050.635625301424,0.3325828724366378,0.1333333333333333
0,0,131.85654008438817,455.04,216.16373053775695,148.88346353536284,409.9881531389483,1.0,1.0,228.0,240.5355419450013,100.23828752385133,75746.53461836537,2.3996373829487743,0.0879043600562587
0,0,102.7648642035723,583.8571428571429,195.1511711259677,52.08638723829088,394.3639297538621,1.0,1.0,46.0,277.6454722563701,34.377582547616434,29985.81117255717,8.076352427393724,0.3058478101296795
0,0,130.86150490730645,458.5,81.06633086553258,66.29228210483228,154.90211963258176,1.0,1.0,30.0,109.52828148220188,72.49214516836366,24944.05742919556,1.5108986115367595,0.272628135223555
0,0,135.9275053304904,441.4117647058824,175.77494261079133,145.10685717773643,365.994535478332,1.0,1.0,44.0,243.4912729442269,132.8834075421006,101649.21499456784,1.832367768467129,0.1332622601279317
0,0,42.67200505742282,1406.074074074074,108.3170674714938,106.75200667765088,124.07678114396592,0.5238095238095238,0.1904761904761904,28.0,87.67596495010461,96.2673902774922,26516.098626399675,0.9107545628626404,0.1333333333333333
0,0,47.44958481613286,1264.5,73.91267369898976,73.54836301460189,81.88627297739016,0.4680851063829787,0.1063829787234042,38.0,57.89705354692951,87.74220439372162,15959.338137477003,0.6598541026748164,0.1666666666666666
0,0,151.86915887850466,395.0769230769231,146.20943612176802,102.00707364051932,220.03636063160107,0.9629629629629628,0.925925925925926,144.0,155.30328750902575,112.3829432161568,54831.60058475776,1.3819115522745846,0.1298026998961578
0,0,158.22784810126583,379.2,179.44982585670013,118.95745471830612,377.41898588848295,1.0,1.0,208.0,249.63470833060407,95.61907897727738,74989.31678657098,2.610720695081433,0.3164556962025316
0,0,212.40077236644493,282.4848484848485,188.82060127910117,111.77534788611364,299.8355104608748,0.9722222222222222,0.9444444444444444,134.0,191.72549821728632,130.62971888812334,78681.33860394335,1.4677019888673872,0.1609096760351855
0,0,135.3919239904988,443.1578947368421,130.76345182202084,121.97825165803542,264.6442355853825,1.0,1.0,20.0,185.60700197911035,75.5691331004334,44064.48195841821,2.4561218895078984,0.2375296912114014
0,0,131.00436681222706,458.0,162.68988905276197,0.0,96.0,1.0,1.0,106.0,0.0,0.0,0.0,,0.5458515283842794
0,0,111.87607573149742,536.3076923076923,136.04036992202245,116.87668715359791,237.8907312191881,1.0,1.0,40.0,167.29757918152907,128.00499990234755,67276.97610507056,1.3069612851775871,0.2868617326448651
0,0,150.15015015015015,399.6,176.18581100644855,106.31742827756678,321.80325252137106,1.0,0.9333333333333332,160.0,221.6500545153704,118.81039984408396,82731.7426994047,1.865577885490192,0.2502502502502503
0,0,213.2701421800948,281.3333333333333,189.21773285649107,126.20593290333066,312.8370182698972,1.0,1.0,92.0,215.4778845960764,130.7907441296975,88537.97539150716,1.6475010218031914,0.1822821728034998
0,0,172.81918645661884,347.18367346938777,176.2002193087875,110.7489096454422,280.8677031391589,1.0,0.9861111111111112,166.0,196.97544811598684,148.35366069624067,91803.71098626952,1.3277424176225825,0.1666666666666666
0,0,140.35617265318442,427.483870967742,156.8504261755996,118.4724747472056,303.1117405722307,1.0,1.0,158.0,212.01476441648705,118.35139931157664,78829.609548845,1.7914005719385582,0.2641110775731964
0,0,118.87608069164264,504.7272727272728,121.02373239019236,122.61729078722952,213.68200672962612,1.0,1.0,20.0,150.81611319749624,131.55037058100595,62328.933036224,1.146451450736331,0.1801152737752161
0,0,131.0425160163075,457.8666666666667,149.29428060787268,157.0675721535869,346.9255443655502,1.0,1.0,32.0,239.35468799809763,118.26148053266444,88927.3032467015,2.0239446260947718,0.29120559114735
0,0,130.83632632119037,458.5882352941176,177.70267925535867,110.39234183494102,361.7021487971069,1.0,1.0,192.0,204.91491760433183,92.21659956085944,59365.28433758538,2.222104464707526,0.1282709081580297
0,0,175.89576547231272,341.1111111111111,172.0713317490062,126.0603030299388,296.1675201638424,1.0,1.0,152.0,209.38462216695856,82.88787607364542,54523.74358200415,2.52611880151111,0.3257328990228013
