,Unnamed: 0,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate
0,0,205.7142857142857,291.6666666666667,148.22018156183125,24.0,197.46392075515973,1.0,1.0,152.0,138.5929291125633,16.970562748477107,7389.025921243177,8.166666666666682,0.2857142857142857
0,0,40.58066644671725,1478.5365853658536,78.01816472697024,81.54409849891039,94.42033679245166,0.6,0.25,44.0,66.75986818441152,81.47195836605378,17087.302145881597,0.8194214245404438,0.1333333333333333
0,0,123.24546388223212,486.8333333333333,207.95665948034036,133.3670705616798,393.57119522938376,1.0,1.0,228.0,249.52231915221932,117.8023249138235,92344.94619827284,2.1181442669722657,0.0855871276959945
0,0,100.18424689083372,598.8965517241379,204.87007570444217,55.42562584220407,407.7842566848309,1.0,1.0,60.0,287.05595964365926,37.89938833759243,34178.15707701167,7.574158112703055,0.2303086135421464
0,0,109.1901728844404,549.5,137.99909419992582,0.0,284.0,1.0,1.0,104.0,0.0,0.0,0.0,,0.2274795268425841
0,0,138.24884792626727,434.0,153.81157303662167,109.2520022699813,254.6291420870753,0.875,0.875,50.0,172.4920288013333,138.44854639901425,75025.22444173336,1.245892667621113,0.1440092165898617
0,0,44.97301619028583,1334.1333333333334,93.96585668327738,8.888194417315589,19.18332609325088,0.375,0.0,52.0,13.490737563232042,96.80909048224756,4103.001792024434,0.1393540368577878,0.1499100539676194
0,0,218.10089020771517,275.1020408163265,172.42996151622876,116.8740227342357,255.4012885281086,0.9545454545454546,0.9545454545454546,128.0,173.68047987873908,118.42890254780582,64618.75524073109,1.4665379492867463,0.2967359050445103
0,0,144.23076923076923,416.0,137.6759480325691,114.31781131333416,248.5741155251104,1.0,0.9545454545454546,88.0,173.72230143688785,96.94200362131836,52907.52410144946,1.7920230132182338,0.3338675213675213
0,0,139.4351090454058,430.3076923076923,165.5282381744459,120.07819674417722,340.2900723402512,1.0,1.0,94.0,233.87746079232744,131.946925356793,96947.70159913736,1.7725116379931376,0.2681444404719342
0,0,230.0924881570043,260.7647058823529,178.10011375356035,117.29355386285204,262.9440160101681,0.9722222222222222,0.8888888888888888,104.0,164.54013732254953,149.23996750614282,77144.83845247289,1.1025205919840269,0.225580870742161
0,0,132.42375601926165,453.09090909090907,159.55019417979383,138.52302371509782,329.4469194381285,1.0,0.9090909090909092,18.0,232.04416792448927,142.32589770321064,103753.90756031527,1.6303720662866736,0.1003210272873194
0,0,124.93059411438092,480.26666666666665,143.76623000165543,85.29947244854449,190.19989484749985,1.0,1.0,40.0,107.65686229869418,160.86640419926096,54407.27126950234,0.6692314833204233,0.4164353137146031
0,0,116.63066954643628,514.4444444444445,163.12579407119532,132.41863115721677,347.3721758739876,1.0,1.0,68.0,242.92234418867776,132.35450232505988,101008.0659265638,1.835391618126187,0.3239740820734341
0,0,145.16129032258064,413.3333333333333,160.63946288828606,103.58195896111552,315.80373652001015,1.0,1.0,112.0,217.03289561211167,120.78700261203602,82356.07521803955,1.7968232584528516,0.2688172043010752
